Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g739	ar'-tee-os	ἄρτιος	ártios	[ἄρτιος] from {{g737}}; fresh, i.e. (by implication) complete	g739
g738	ar-teeg-en'-nay-tos	ἀρτιγέννητος	artigénnētos	[ἀρτιγέννητος] from {{g737}} and {{g1084}}; just born, i.e. (figuratively) a young convert	g738
g733	ar-sen-ok-oy'-tace	ἀρσενοκοίτης	arsenokoítēs	[ἀρσενοκοίτης] from {{g730}} and {{g2845}}; a sodomite	g733
g732	ar'-hroce-tos	ἄῤῥωστος	árrhōstos	[ἄῤῥωστος] from {{g1}} (as a negative particle) and a presumed derivative of {{g4517}}; infirm	g732
g731	ar'-hray-tos	ἄῤῥητος	árrhētos	[ἄῤῥητος] from {{g1}} (as a negative particle) and the same as {{g4490}}; unsaid, i.e. (by implication) inexpressible	g731
g730	ar'-hrane	ἄῤῥην	árrhēn	[ἄῤῥην]   or ἄρσηνprobably from {{g142}}; male (as stronger for lifting)	g730
g737	ar'-tee	ἄρτι	árti	[ἄρτι] adverb from a derivative of {{g142}} (compare {{g740}}) through the idea of suspension; just now	g737
g736	ar-tem'-ohn	ἀρτέμων	artémōn	[ἀρτέμων] from a derivative of {{g737}}; properly, something ready (or else more remotely from {{g142}} (compare {{g740}}); something hung up), i.e. (specially) the topsail (rather foresail or jib) of a vessel	g736
g735	ar'-tem-is	Ἄρτεμις	Ártemis	[Ἄρτεμις] probably from the same as {{g736}}; prompt; Artemis, the name of a Grecian goddess borrowed by the Asiatics for one of their deities	g735
g734	ar-tem-as'	Ἀρτεμάς	Artemás	[Ἀρτεμάς] contracted from a compound of {{g735}} and {{g1435}}; gift of Artemis; Artemas (or Artemidorus), a Christian	g734
g788	as'-son	ἆσσον	âsson	[ἆσσον] neuter comparative of the base of {{g1451}}; more nearly, i.e. very near	g788
g789	as'-sos	Ἄσσος	Ássos	[Ἄσσος] probably of foreign origin; Assus, a city of Asia MInor	g789
g786	as'-pon-dos	ἄσπονδος	áspondos	[ἄσπονδος] from {{g1}} (as a negative particle) and a derivative of {{g4689}}; literally, without libation (which usually accompanied a treaty), i.e. (by implication) truceless	g786
g787	as-sar'-ee-on	ἀσσάριον	assárion	[ἀσσάριον] of Latin origin; an assarius or as, a Roman coin	g787
g784	as'-pee-los	ἄσπιλος	áspilos	[ἄσπιλος] from {{g1}} (as a negative particle) and {{g4695}}; unblemished (physically or morally)	g784
g785	as-pece'	ἀσπίς	aspís	"[ἀσπίς] of uncertain derivation; a buckler (or round shield); used of a serpent (as coiling itself), probably the ""asp"""	g785
g782	as-pad'-zom-ahee	ἀσπάζομαι	aspázomai	[ἀσπάζομαι] from {{g1}} (as a particle of union) and a presumed form of {{g4685}}; to enfold in the arms, i.e. (by implication) to salute, (figuratively) to welcome	g782
g783	as-pas-mos'	ἀσπασμός	aspasmós	[ἀσπασμός] from {{g782}}; a greeting (in person or by letter)	g783
g780	as-men'-oce	ἀσμένως	asménōs	[ἀσμένως] adverb from a derivative of the base of {{g2237}}; with pleasure	g780
g781	as'-of-os	ἄσοφος	ásophos	[ἄσοφος] from {{g1}} (as a negative particle) and {{g4680}}; unwise	g781
g706	ar-ith-mos'	ἀριθμός	arithmós	[ἀριθμός] from {{g142}}; a number (as reckoned up)	g706
g707	ar-ee-math-ah'-ee-ah	Ἀριμαθαία	Arimathaía	[Ἀριμαθαία] of Hebrew origin ({{h7414}}); Arimathæa (or Ramah), a place in Palestine	g707
g704	ar-ane'	ἀρήν	arḗn	[ἀρήν] perhaps the same as {{g730}}; a lamb (as a male)	g704
g705	ar-ith-meh'-o	ἀριθμέω	arithméō	[ἀριθμέω] from {{g706}}; to enumerate or count	g705
g702	ar-et'-as	Ἀρέτας	Arétas	[Ἀρέτας] of foreign origin; Aretas, an Arabian	g702
g703	ar-et'-ay	ἀρέτη	arétē	[ἀρέτη] from the same as {{g730}}; properly, manliness (valor), i.e. excellence (intrinsic or attributed)	g703
g701	ar-es-tos'	ἀρεστός	arestós	[ἀρεστός] from {{g700}}; agreeable; by implication, fit	g701
g708	ar-is'-tar-khos	Ἀρίσταρχος	Arístarchos	[Ἀρίσταρχος] from the same as {{g712}} and {{g757}}; best ruling; Aristarchus, a Macedonian	g708
g709	ar-is-tah'-o	ἀριστάω	aristáō	[ἀριστάω] from {{g712}}; to take the principle meal	g709
