Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h2705	khats-ar' shoo-awl'	חֲצַר שׁוּעָל	Chătsar Shûwʻâl	from {{h2691}} and {{h7776}}; village of (the) fox; Chatsar-Shual, a place in Palestine; Hazar-shual.	h2705
h2706	khoke	חֹק	chôq	from {{h2710}}; an enactment; hence, an appointment (of time, space, quantity, labor or usage); appointed, bound, commandment, convenient, custom, decree(-d), due, law, measure, × necessary, ordinance(-nary), portion, set time, statute, task.	h2706
h2707	khaw-kaw'	חָקָה	châqâh	a primitive root; to carve; by implication, to delineate; also to entrench; carved work, portrayed, set a print.	h2707
h2701	khats-ar'soo-saw'	חֲצַר סוּסָה	Chătsar Çûwçâh	from {{h2691}} and {{h5484}}; village of cavalry; Chatsar-Susah, a place in Palestine; Hazar-susah.	h2701
h2702	khats-ar' soo-seem'	חֲצַר סוּסִים	Chătsar Çûwçîym	from {{h2691}} and the plural of {{h5483}}; village of horses; Chatsar-Susim, a place in Palestine; Hazar-susim.	h2702
h2703	khats-ar' ay-none'	חֲצַר עֵינוֹן	Chătsar ʻÊynôwn	from {{h2691}} and a derivative of {{h5869}}; village of springs; Chatsar-Enon, a place in Palestine; Hazar-enon.	h2703
h2708	khook-kaw'	חֻקָּה	chuqqâh	feminine of {{h2706}}, and meaning substantially the same; appointed, custom, manner, ordinance, site, statute.	h2708
h2709	khah-oo-faw'	חֲקוּפָא	Chăqûwphâʼ	from an unused root probably meaning to bend; crooked; Chakupha, one of the Nethinim; Hakupha.	h2709
h2788	khaw-rare'	חָרֵר	chârêr	from {{h2787}}; arid; parched place.	h2788
h2789	kheh'-res	חֶרֶשׂ	cheres	a collateral form mediating between {{h2775}} and {{h2791}}; a piece of pottery; earth(-en), (pot-) sherd,   stone.	h2789
h2784	khar-tsoob-baw'	חַרְצֻבָּה	chartsubbâh	of uncertain derivation; a fetter; figuratively, a pain; band.	h2784
h2785	kchar-tsan'	חַרְצַן	chartsan	from {{h2782}}; a sour grape (as sharp in taste); kernel.	h2785
h2786	khaw-rak'	חָרַק	châraq	a primitive root; to grate the teeth; gnash.	h2786
h2787	khaw-rar'	חָרַר	chârar	a primitive root; to glow, i.e. literally (to melt, burn, dry up) or figuratively (to show or incite passion); be angry, burn, dry, kindle.	h2787
h2780	khaw-rafe'	חָרֵף	Chârêph	from {{h2778}}; reproachful; Chareph, an Israelite; Hareph.	h2780
h2781	kher-paw'	חֶרְפָּה	cherpâh	from {{h2778}}; contumely, disgrace, the pudenda; rebuke, reproach(-fully), shame.	h2781
h2782	khaw-rats'	חָרַץ	chârats	a primitive root; properly, to point sharply, i.e. (literally) to wound; figuratively, to be alert, to decide; bestir self, decide, decree, determine, maim, move.	h2782
h2783	khar-ats'	חֲרַץ	chărats	(Aramaic) from a root corresponding to {{h2782}} in the sense of vigor; the loin (as the seat of strength); loin.	h2783
