Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h1061	bik-koor'	בִּכּוּר	bikkûwr	from {{h1069}}; the first-fruits of the crop; first fruit (-ripe (figuratively)), hasty fruit.	h1061
h1062	bek-o-raw'	בְּכוֹרָה	bᵉkôwrâh	or (short) בְּכֹרָה; feminine of {{h1060}}; the firstling of man or beast; abstractly primogeniture; birthright, firstborn(-ling).	h1062
h1063	bik-koo-raw'	בִּכּוּרָה	bikkûwrâh	feminine of {{h1061}}; the early fig; firstripe (fruit).	h1063
h1064	bek-o-rath'	בְּכוֹרַת	Bᵉkôwrath	feminine of {{h1062}}; primogeniture; Bekorath, an Israelite; Bechorath.	h1064
h1065	bek-ee'	בְּכִי	Bᵉkîy	from {{h1058}}; a weeping; by analogy, a dripping; overflowing, × sore, (continual) weeping, wept.	h1065
h1066	bo-keem'	בֹּכִים	Bôkîym	plural active participle of {{h1058}}; (with the article) the weepers; Bo-kim, a place in Palestine; Bochim.	h1066
h1067	bek-ee-raw'	בְּכִירָה	bᵉkîyrâh	feminine from {{h1069}}; the eldest daughter; firstborn.	h1067
h1068	bek-eeth'	בְּכִית	bᵉkîyth	from {{h1058}}; a weeping; mourning.	h1068
h1069	baw-kar'	בָּכַר	bâkar	a primitive root; properly, to burst the womb, i.e. (causatively) bear or make early fruit (of woman or tree); also (as denominative from {{h1061}}); to give the birthright; make firstborn, be firstling, bring forth first child (new fruit).	h1069
h1099	bel-ee-mah'	בְּלִימָה	bᵉlîymâh	from {{h1097}} and {{h4100}}; (as indefinitely) nothing whatever; nothing.	h1099
h1098	bel-eel'	בְּלִיל	bᵉlîyl	from {{h1101}}; mixed, i.e. (specifically) feed (for cattle); corn, fodder, provender.	h1098
h1095	bale-tesh-ats-tsar'	בֵּלְטְשַׁאצַּר	Bêlṭᵉshaʼtstsar	of foreign derivation; Belteshatstsar, the Babylonian name of Daniel; Belteshazzar.	h1095
h1094	bel-o'	בְּלוֹא	bᵉlôwʼ	or (fully) בְּלוֹי; from {{h1086}}; (only in plural construction) rags; old.	h1094
h1097	bel-ee'	בְּלִי	bᵉlîy	from {{h1086}}; properly, failure, i.e. nothing or destruction; usually (with preposition) without, not yet, because not, as long as, etc.; corruption, ig(norantly), for lack of, where no...is, so that no, none, not, un(awares), without.	h1097
h1096	bale-tesh-ats-tsar'	בֵּלְטְשַׁאצַּר	Bêlṭᵉshaʼtstsar	(Aramaic) corresponding to {{h1095}}; Belteshazzar.	h1096
h1091	bal-law-haw'	בַּלָּהָה	ballâhâh	from {{h1089}}; alarm; hence, destruction; terror, trouble.	h1091
h1090	bil-haw'	בִּלְהָה	Bilhâh	from {{h1089}}; timid; Bilhah, the name of one of Jacob's concubines; also of a place in Palestine; Bilhah.	h1090
h1093	bel-o'	בְּלוֹ	bᵉlôw	(Aramaic) from a root corresponding to {{h1086}}; excise (on articles consumed); tribute.	h1093
h1092	bil-hawn'	בִּלְהָן	Bilhân	from {{h1089}}; timid; Bilhan, the name of an Edomite and of an Israelite; Bilhan.	h1092
h1015	bayth dib-law-thah'-yim	בֵּית דִּבְלָתַיִם	Bêyth Diblâthayim	from {{h1004}} and the dual of {{h1690}}; house of (the) two figcakes; Beth-Diblathajim, a place East of the Jordan; Beth-diblathaim.	h1015
h1014	bayth gaw-mool'	בֵּית גָּמוּל	Bêyth Gâmûwl	from {{h1004}} and the passive participle of {{h1576}}; house of (the) weaned; Beth-Gamul, a place East of the Jordan; Beth-gamul.	h1014
h1017	bayth haw-el-ee'	בֵּית הָאֱלִי	Bêyth hâ-ʼĔlîy	patrial from {{h1008}} with the article interposed; a Beth-elite, or inhabitant of Bethel; Bethelite.	h1017
h1016	bayth-daw-gohn'	בֵּית־דָּגוֹן	Bêyth-Dâgôwn	from {{h1004}} and {{h1712}}; house of Dagon; Beth-Dagon, the name of two places in Palestine; Beth-dagon.	h1016
h1011	bayth bir-ee'	בֵּית בִּרְאִי	Bêyth Birʼîy	from {{h1004}} and {{h1254}}; house of a creative one; Beth-Biri, a place in Palestine; Bethbirei.	h1011
h1010	bayth bah'-al me-own'	בֵּית בַּעַל מְעוֹן	Bêyth Baʻal Mᵉʻôwn	from {{h1004}} and {{h1168}} and {{h4583}}; house of Baal of (the) habitation of (apparently by transposition); or (shorter) בֵּית מְעוֹןlemma בֵּית מעוֹן missing vowel, corrected to בֵּית מְעוֹן; house of habitation of (Baal); Beth-Baal-Meon, a place in Palestine; Beth-baal-meon. Compare {{h1186}} and {{h1194}}.	h1010
h1013	bayth-gaw-dare'	בֵּית־גָּדֵר	Bêyth-Gâdêr	from {{h1004}} and {{h1447}}; house of (the) wall; Beth-Gader, a place in Palestine; Beth-gader.	h1013
h1012	bayth baw-raw'	בֵּית בָּרָה	Bêyth Bârâh	probably from {{h1004}} and {{h5679}}; house of (the) ford; Beth-Barah, a place in Palestine; Beth-barah.	h1012
h1019	bayth hag-gil gawl'	בֵּית הַגִּלְגָּל	Bêyth hag-Gilgâl	from {{h1004}} and {{h1537}} with the article interposed; house of Gilgal (or rolling); Beth-hag-Gilgal, a place in Palestine; Beth-gilgal.	h1019
h1018	bayth haw-ay'-tsel	בֵּית הָאֵצֶל	Bêyth hâʼêtsel	from {{h1004}} and {{h681}} with the article interposed; house of the side; Beth-ha-Etsel, a place in Palestine; Beth-ezel.	h1018
h1088	baw-law'	בָּלָה	Bâlâh	feminine of {{h1087}}; failure; Balah, a place in Palestine; Balah.	h1088
h1089	baw-lah'	בָּלַהּ	bâlahh	a primitive root (rather by transposition for {{h926}}); to palpitate; hence, (causatively) to terrify; trouble.	h1089
h1086	baw-law'	בָּלָה	bâlâh	a primitive root; to fail; by implication to wear out, decay (causatively, consume, spend); consume, enjoy long, become (make, wax) old, spend, waste.	h1086
h1087	baw-leh'	בָּלֶה	bâleh	from {{h1086}}; worn out; old.	h1087
h1084	bil-gah'ee	בִּלְגַּי	Bilgay	from {{h1082}}; desistant; Bilgai, an Israelite; Bilgai.	h1084
h1085	bil-dad'	בִּלְדַּד	Bildad	of uncertain derivation; Bildad, one of Job's friends; Bildad.	h1085
h1082	baw-lag'	בָּלַג	bâlag	a primitive root; to break off or loose (in a favorable or unfavorable sense), i.e. desist (from grief) or invade (with destruction); comfort, (recover) strength(-en).	h1082
h1083	bil-gaw'	בִּלְגַה	Bilgah	from {{h1082}}; desistance; Bilgah, the name of two Israelites; Bilgah.	h1083
h1080	bel-aw'	בְּלָא	bᵉlâʼ	(Aramaic) corresponding to {{h1086}} (but used only in a mental sense); to afflict; wear out.	h1080
h1081	bal-ad-awn'	בַּלְאֲדָן	Balʼădân	from {{h1078}} and {{h113}} (contracted); Bel (is his) lord; Baladan, the name of a Babylonian prince; Baladan.	h1081
h1006	bah'-yith	בַּיִת	Bayith	the same as {{h1004}}; Bajith, a place in Palestine; Bajith.	h1006
h1007	bayth aw'-ven	בֵּית אָוֶן	Bêyth ʼÂven	from {{h1004}} and {{h205}}; house of vanity; Beth-Aven, a place in Palestine; Beth-aven.	h1007
h1004	bah'-yith	בַּיִת	bayith	probably from {{h1129}} abbreviated; a house (in the greatest variation of applications, especially family, etc.); court, daughter, door, + dungeon, family, + forth of, × great as would contain, hangings, home(born), (winter) house(-hold), inside(-ward), palace, place, + prison, + steward, + tablet, temple, web, + within(-out).	h1004
h1005	bah-yith	בַּיִת	bayith	(Aramaic) corresponding to {{h1004}}; house.	h1005
h1002	bee-raw'	בִּירָה	bîyrâh	of foreign origin; a castle or palace; palace.	h1002
h1003	bee-raw-neeth'	בִּירָנִית	bîyrânîyth	from {{h1002}}; a fortress; castle.	h1003
h1001	bee-raw'	בִּירָא	bîyrâʼ	(Aramaic) corresponding to {{h1002}}; a palace; palace.	h1001
h1008	bayth-ale'	בֵּית־אֵל	Bêyth-ʼÊl	from {{h1004}} and {{h410}}; house of God; Beth-El, a place in Palestine; Beth-el.	h1008
h1009	bayth ar-bale'	בֵּית אַרְבֵּאל	Bêyth ʼArbêʼl	from {{h1004}} and {{h695}} and {{h410}}; house of God's ambush; Beth-Arbel, a place in Palestine; Beth-Arbel.	h1009
