Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h3551	kav	כַּו	kav	(Aramaic) from a root corresponding to {{h3854}} in the sense of piercing; a window (as a perforation); window.	h3551
h3569	koo-shee'	כּוּשִׁי	Kûwshîy	patronymically from {{h3568}}; a Cushite, or descendant of Cush; Cushi, Cushite, Ethiopian(-s).	h3569
h3568	koosh	כּוּשׁ	Kûwsh	probably of foreign origin; Cush (or Ethiopia), the name of a son of Ham, and of his territory; also of an Israelite; Chush, Cush, Ethiopia.	h3568
h3563	koce	כּוֹס	kôwç	from an unused root meaning to hold together; a cup (as a container), often figuratively, a lot (as if a potion); also some unclean bird, probably an owl (perhaps from the cup-like cavity of its eye); cup, (small) owl. Compare {{h3599}}.	h3563
h3562	ko-nan-yaw'-hoo	כּוֹנַנְיָהוּ	Kôwnanyâhûw	from {{h3559}} and {{h3050}}; Jah has sustained; Conanjah, the name of two Israelites; Conaniah, Cononiah. Compare {{h3663}}.	h3562
h3561	kav-vawn'	כַּוָּן	kavvân	from {{h3559}}; something prepared, i.e. a sacrificial wafer; cake.	h3561
h3560	koon	כּוּן	Kûwn	probably from {{h3559}}; established; Kun, a place in Syria; Chun.	h3560
h3567	ko'-resh	כּוֹרֶשׁ	Kôwresh	(Aramaic) corresponding to {{h3566}}; Cyrus.	h3567
h3566	ko'-resh	כּוֹרֶשׁ	Kôwresh	or (Ezra 1:1 (last time),2) כֹּרֶשׁ; from the Persian; Koresh (or Cyrus), the Persian king; Cyrus.	h3566
h3565	kore aw-shawn'	כּוֹר עָשָׁן	Kôwr ʻÂshân	from {{h3564}} and {{h6227}}; furnace of smoke; Cor-Ashan, a place in Palestine; Chorashan.	h3565
h3564	koor	כּוּר	kûwr	from an unused root meaning properly, to dig through; a pot or furnace (as if excavated); furnace. Compare {{h3600}}.	h3564
h3574	ko-shaw-raw'	כּוֹשָׁרָה	kôwshârâh	from {{h3787}}; prosperity; in plural freedom; × chain.	h3574
h3575	kooth	כּוּת	Kûwth	or (feminine) כּוּתָה; of foreign origin; Cuth or Cuthah, a province of Assyria; Cuth.	h3575
